project name,valid,type,issue,module,commit,parent,testcase,has_test_annotation,traces,bugged_components,description,extra_description
avro_0,False,Auto-generated,AVRO-851,avro,c0781539c1b155ed7b7a53303ec46f1200015e5c,a4994fdf861d381ea9c6496935a09646dfbf0116,org.apache.avro.generic.GenericData_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.avro.generic.GenericData'],testcase passed in parent,
avro_0,False,Auto-generated,AVRO-895,avro,21223692e8066b2bdf2100641fb7befdae453e8e,d6d8e36128e1b733b520abfc2f6687914e0cd9e0,org.apache.avro.io.JsonEncoder_ESTest#notGeneratedAnyTest,True,[],"[u'org.apache.avro.io.JsonDecoder', u'org.apache.avro.io.JsonEncoder', u'org.apache.avro.io.parsing.JsonGrammarGenerator']",testcase passed in parent,
avro_0,False,Auto-generated,AVRO-895,avro,21223692e8066b2bdf2100641fb7befdae453e8e,d6d8e36128e1b733b520abfc2f6687914e0cd9e0,org.apache.avro.io.parsing.JsonGrammarGenerator_ESTest#notGeneratedAnyTest,True,[],"[u'org.apache.avro.io.JsonDecoder', u'org.apache.avro.io.JsonEncoder', u'org.apache.avro.io.parsing.JsonGrammarGenerator']",testcase passed in parent,
avro_0,False,Auto-generated,AVRO-942,avro,cd30b485062b1920887276cc44552590d703f443,ba6b305d9bf41d7e695132340147809f42e93b23,org.apache.avro.reflect.ReflectData_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.avro.reflect.ReflectData'],testcase passed in parent,
avro_0,False,Auto-generated,AVRO-978,avro,940493f37adab4c3e0da3f7e98b04037836a18b5,8f0693356c5c35d41e8ba8c40bfd8aa085f67ca9,org.apache.avro.reflect.ReflectDatumReader_ESTest#test0,True,[],"[u'org.apache.avro.reflect.ReflectData', u'org.apache.avro.specific.SpecificData', u'org.apache.avro.reflect.ReflectDatumReader']",testcase failed in commit,
avro_0,False,Auto-generated,AVRO-986,avro,dbab66b91b879c902e700a0ca9bbdd48696cbf5b,2681d58693dcf0c7987307e939e3c551880e93d3,org.apache.avro.file.DataFileReader_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.avro.file.DataFileReader'],testcase passed in parent,
avro_0,False,Auto-generated,AVRO-1000,avro,b4ad6eb2375b93bfafde60fef3df4d1df021141b,b180bd8ab188342dc989740e082e2bf3487882fa,org.apache.avro.generic.GenericData_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.avro.generic.GenericData'],testcase passed in parent,
avro_0,False,Auto-generated,AVRO-1007,avro,abe9f8d8be7e75417a19c73e65bdab2c781a213b,234487d0a347a100210258aea1466a2d3cde8509,org.apache.avro.data.RecordBuilderBase_ESTest#notGeneratedAnyTest,True,[],"[u'org.apache.avro.data.RecordBuilderBase', u'org.apache.avro.generic.GenericRecordBuilder']",testcase passed in parent,
avro_0,False,Auto-generated,AVRO-1007,avro,abe9f8d8be7e75417a19c73e65bdab2c781a213b,234487d0a347a100210258aea1466a2d3cde8509,org.apache.avro.generic.GenericRecordBuilder_ESTest#notGeneratedAnyTest,True,[],"[u'org.apache.avro.data.RecordBuilderBase', u'org.apache.avro.generic.GenericRecordBuilder']",testcase passed in parent,
avro_0,False,Auto-generated,AVRO-1041,avro,98b14a071b3e5b6aa7c694731099f72ae22a3473,523d2de7141ff2e6a3416a0e04a647a4283e3d8f,org.apache.avro.util.Utf8_ESTest#test0,True,[],[u'org.apache.avro.util.Utf8'],testcase genrated runtime error when tested,"java.lang.NegativeArraySizeException: null
	at org.apache.avro.util.Utf8.setByteLength(Utf8.java:77)
	at org.apache.avro.util.Utf8_ESTest.test0(Utf8_ESTest.java:26)
"
